Date,Low,High,Open,Close,Volumefrom,Volumeto
2020-05-25,8642.72,8979.66,8720.34,8900.35,62833.91,553545285.91
2020-05-26,8700.0,9017.67,8900.35,8841.18,58299.77,516455128.89
2020-05-27,8811.73,9225.0,8841.18,9204.07,68910.36,624660855.78
2020-05-28,9110.0,9625.47,9204.07,9575.89,74110.79,693930106.18
2020-05-29,9330.0,9605.26,9575.89,9427.07,57374.36,542758086.61
2020-05-30,9331.23,9740.0,9427.07,9697.72,55665.27,530598690.07
2020-05-31,9381.41,9700.0,9697.72,9448.27,48333.79,461272298.85
2020-06-01,9421.67,10380.0,9448.27,10200.77,76649.13,749707596.66
2020-06-02,9266.0,10228.99,10200.77,9518.04,108970.77,1070060237.13
2020-06-03,9365.21,9690.0,9518.04,9666.24,46252.64,441928818.04
2020-06-04,9450.0,9881.63,9666.24,9789.06,57456.1,557234945.65
2020-06-05,9581.0,9854.75,9789.06,9621.16,47788.05,465200788.2
2020-06-06,9531.05,9735.0,9621.16,9666.3,32752.95,315604867.24
2020-06-07,9372.46,9802.0,9666.3,9746.99,57952.85,556919603.79
2020-06-08,9633.0,9800.0,9746.99,9782.01,40664.66,395459395.82
2020-06-09,9570.0,9877.0,9782.01,9772.43,46024.0,447208895.84
2020-06-10,9704.18,9992.72,9772.43,9885.0,47130.76,462384305.35
2020-06-11,9113.0,9964.0,9885.0,9280.4,94418.98,902075648.55
2020-06-12,9232.51,9557.12,9280.4,9465.13,50119.07,472007894.38
2020-06-13,9351.0,9494.73,9465.13,9473.34,27759.78,261673162.26
2020-06-14,9245.0,9480.99,9473.34,9342.1,30055.51,282131272.38
2020-06-15,8910.45,9495.0,9342.1,9426.02,86107.92,793518842.55
2020-06-16,9373.09,9589.0,9426.02,9525.59,52052.45,494458269.14
2020-06-17,9236.61,9565.0,9525.59,9465.14,48046.41,453209812.23
2020-06-18,9280.0,9489.0,9465.14,9386.32,37381.95,351649555.07
2020-06-19,9215.79,9438.3,9386.32,9310.23,45330.98,423086965.19
2020-06-20,9170.95,9395.0,9310.23,9358.95,30329.05,282120192.71
2020-06-21,9281.54,9422.0,9358.95,9294.69,24316.93,227467940.61
2020-06-22,9277.09,9780.0,9294.69,9685.69,57895.47,550995799.07
2020-06-23,9577.03,9720.0,9685.69,9624.89,41031.03,395487616.46
2020-06-24,9208.0,9670.0,9624.89,9296.49,61571.56,579426702.8
2020-06-25,9009.69,9340.0,9296.49,9249.49,55831.62,514396747.4
2020-06-26,9045.45,9298.0,9249.49,9162.21,50292.3,461347064.83
2020-06-27,8833.0,9196.24,9162.21,9012.0,46290.93,419606802.24
2020-06-28,8948.06,9191.0,9012.0,9116.35,30688.18,278721674.92
2020-06-29,9024.67,9238.0,9116.35,9192.56,42120.29,384206326.47
2020-06-30,9064.89,9205.0,9192.56,9138.55,31463.16,287781334.52
2020-07-01,9080.1,9292.0,9138.55,9232.0,38488.53,354087627.17
2020-07-02,8940.0,9261.96,9232.0,9086.54,45725.17,417724468.89
2020-07-03,9037.47,9125.0,9086.54,9058.26,28943.42,263123750.47
2020-07-04,9040.04,9190.0,9058.26,9135.46,26441.97,240576054.92
2020-07-05,8893.03,9145.24,9135.46,9069.41,34073.65,308410443.66
2020-07-06,9055.92,9375.0,9069.41,9344.2,54463.13,502548376.21
